Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Титаренко,Демʼян,Євгенович,Чоловік,1970-10-15,Педагог,село Лозова ,"провулок Спартаківський, буд. 873, Золотоноша, 27974",072 314-73-08,arsen42@example.com
Ірванець,Володимир,Тарасович,Чоловік,1977-06-13,Інженер,хутір Бібрка,"парк Дунаєвського 1-й, буд. 8 кв. 855, Дубляни, 79722",+380 16 881 57 62,iashchenkohavrylo@example.com
Ярема,Опанас,Миколайович,Чоловік,1989-05-11,Головний меркшейдер,місто Залізне,"провулок Аеропортівський 6-й, буд. 44, Васильків, 66547",044 924-87-65,busyk@example.org
Ковпак,Яків,Михайлович,Чоловік,1963-01-29,Медик,місто Прилуки,"вулиця Амбулаторна, буд. 5, Борзна, 42138",072 020 39 35,viacheslav45@example.com
Масоха,Василь,Максимович,Чоловік,1993-01-10,Астрофізик,село Кам'янка-Дніпровська,"парк Зернова, буд. 913 кв. 98, Заводське, 83858",+380 (16) 519-12-61,martyn48@example.com
Андрейко,Спас,Вікторович,Чоловік,1990-06-03,Реставратор,місто Лубни,"вулиця Старорізнична, буд. 214, Скалат, 76334",+380 (18) 115-98-80,fedirandroshchuk@example.org
Литвин,Євген,Андрійович,Чоловік,1999-03-26,Математик,село Тиврів,"шосе Листяний, буд. 138, Ясинувата, 99256",+380 27 583 78 85,iarynaishchak@example.com
Христич,Венедикт,Олегович,Чоловік,1992-08-15,Гицель,хутір Дніпро ,"шосе Військовий узвіз, буд. 4, Гадяч, 73069",079 592 10 77,teodorvashchuk@example.org
Штокало,Федір,Михайлович,Чоловік,1938-12-01,Слідчий,місто Жовті Води,"вулиця Псковська, буд. 079, Баштанка, 16102",+380 92 848-77-71,xpalii@example.org
Бакуменко,Ростислав,Богданович,Чоловік,1998-04-12,Громадський діяч,хутір Болехів,"парк Чумацька, буд. 962 кв. 8, Новий Розділ, 42396",041 724-52-11,baklanzorian@example.com
Шиян,Мартин,Максимович,Чоловік,1968-11-16,Перекладач,хутір Донецьк,"провулок Покровський, буд. 63, Стебник, 37010",+380 49 239-11-01,romanchervonenko@example.com
Титаренко,Пармен,Максимович,Чоловік,1989-03-15,Реабілітолог,хутір Богуслав,"набережна Пугачова, буд. 573, Боярка, 06838",937-36-60,ievafesenko@example.org
Лесик,Юхим,Павлович,Чоловік,1957-04-05,Геолог,місто Шумськ,"парк Обільний 1-й, буд. 43 кв. 83, Сіверськ, 44773",+380 (15) 382-61-04,batiukihor@example.net
Єфименко,Аркадій,Федорович,Чоловік,2004-10-09,Психолог,хутір Буча,"сквер Фабрична, буд. 03 кв. 763, Нова Каховка, 38095",181 97 52,zynovii96@example.com
Шевченко,Аврелій,Олегович,Чоловік,1993-10-06,Фольклорист,селище Славутич,"сквер Палія Семена, буд. 2 кв. 2, Мерефа, 18993",548 79 05,dan02@example.net
Сомко,Василь,Андрійович,Чоловік,2001-10-18,Епідеміолог,місто Бережани,"парк Нежданової, буд. 789, Лутугине, 62135",610 37 29,iukhymrudyk@example.com
Піддубна,Хома,Павлович,Чоловік,2003-11-20,Дипломат,хутір Гребінка,"набережна Закарпатська, буд. 58 кв. 3, Новогродівка, 17883",+380 19 478 81 23,boryslavolifirenko@example.com
Артюшенко,Олекса,Євгенович,Чоловік,2008-05-17,Шериф,село Ананьїв,"набережна Дачний 2-й, буд. 06 кв. 583, Берегове, 31935",889 59 58,veniiamyn98@example.org
Гоголь,Зиновій,Юрійович,Чоловік,1974-07-16,Географ,хутір Гуляйполе,"парк Леваневського, буд. 0, Ладижин, 84277",+380 40 621 23 53,omelian43@example.com
Безбородько,Єфрем,Дмитрович,Чоловік,1969-02-27,Скульптор,село Вільнянськ,"провулок Творча, буд. 924 кв. 08, Хоростків, 81807",957 65 22,eduardshtokalo@example.com
Данько,Єфрем,Євгенович,Чоловік,1967-02-12,Зоолог,хутір Синельникове,"вулиця Композитора Глинки, буд. 86, Макіївка, 03501",225 72 25,hirvanets@example.org
Колодуб,Геннадій,Павлович,Чоловік,1963-01-29,Філолог,село Єнакієве,"набережна Житомирський 4-й, буд. 78, Рава-Руська, 01590",269-52-63,khomamatviienko@example.net
Чміль,Мартин,Романович,Чоловік,1996-06-02,Кінорежисер,село Енергодар,"площа Локомотивний 1-й, буд. 70, Гуляйполе, 01112",186 87 00,arkadii84@example.org
Ящук,Семен,Сергійович,Чоловік,2002-10-04,Музикознавець,хутір Шостка,"площа Юннатів, буд. 09, Знам'янка, 69359",+380 88 786 09 13,xhavrylenko@example.net
Чуйко,Святослав,Петрович,Чоловік,2002-07-31,Гінеколог,селище Кадіївка,"парк Бернардацці, буд. 107 кв. 074, Новоазовськ, 58399",+380 (58) 954-87-46,vnosachenko@example.org
Єрмоленко,Веніямин,Тарасович,Чоловік,1996-12-11,Геофізик,місто Ясинувата,"набережна Рекордний, буд. 947, Перечин, 87423",005 92 12,snizhana48@example.net
Симоненко,Мирослав,Михайлович,Чоловік,1973-07-10,Круп'є,місто Буринь,"проспект Вєтрогонова, буд. 608, Копичинці, 38425",+380 29 558 62 60,oryna98@example.org
Медведенко,Омелян,Вікторович,Чоловік,1991-06-04,Геолог,місто Перевальськ,"набережна Просьолочна, буд. 3, Болград, 15021",043 554 07 29,sirobabafedir@example.org
Доценко,Ростислав,Сергійович,Чоловік,2003-04-07,Круп'є,хутір Немирів,"площа Топольського, буд. 3, Семенівка, 96214",+380 63 003 06 10,illiareva@example.net
Балабан,Максим,Романович,Чоловік,1994-05-07,Філолог,хутір Кременець,"шосе Виноградний, буд. 242 кв. 315, Запоріжжя, 17725",044 330-69-04,parmen04@example.org
Бабʼяк,Артем,Дмитрович,Чоловік,1977-01-20,Вчитель,селище Бахчисарай,"шосе Левітана, буд. 01 кв. 0, Молочанськ, 01763",+380 31 317 55 16,mariana65@example.net
Луценко,Валерій,Олександрович,Чоловік,1960-08-28,Письменник,селище Гуляйполе,"шосе 13-та ст. Великого Фонтану пляж, буд. 487, Брянка, 06179",+380 46 635-49-84,mykyta95@example.com
Шморгун,Стефан,Максимович,Чоловік,1997-10-24,Льотчик,село Лубни,"сквер Ванцетті, буд. 873 кв. 846, Євпаторія, 89333",736 04 54,iaroslav04@example.com
Гайдай,Варфоломій,Юрійович,Чоловік,2002-11-27,Електрослюсар,хутір Суми,"площа 13-та ст. Великого Фонтану пляж, буд. 6, Джанкой, 64851",058 668 71 02,alekseienkonestor@example.org
Чаленко,Борис,Олегович,Чоловік,1964-01-15,Диригент,село Южне,"вулиця Братів Поджіо, буд. 23, Носівка, 11590",+380 17 871-73-07,borlyk@example.net
Орлик,Пантелеймон,Миколайович,Чоловік,1948-09-06,Детектив,хутір Марганець ,"площа Верхня, буд. 0, Новогродівка, 80785",096 382 31 97,danylobabenko@example.com
Вернидуб,Адам,Тарасович,Чоловік,1975-06-19,Хореограф,місто Монастириська,"вулиця Лузанівський, буд. 4 кв. 6, Погребище, 97513",+380 (06) 313-80-50,makarieshchenko@example.com
Мазур,Устим,Максимович,Чоловік,1964-04-13,Намотувальник,хутір Енергодар,"проспект Ніжинська, буд. 47 кв. 8, Кагарлик, 91498",904 55 73,tymofii34@example.org
Данькевич,Болеслав,Олександрович,Чоловік,1980-08-01,Кур'єр,місто Помічна,"парк Чорноморський 5-й, буд. 22 кв. 1, Збараж, 91571",011 377-37-28,vladyslavdubenko@example.com
Андрієвич,Амвросій,Іванович,Чоловік,1980-07-21,Графік,село Ковель,"сквер Міхновського Миколи, буд. 23, Черкаси, 59236",+380 (81) 590-87-21,varvara14@example.org
